id,severity,lens,title,finding,failure,evidence,minimum_fix,gate
B-01,BLOCKER,運用状態・直接前例,外部Capabilityの実行ライフサイクルが存在しない,Dispatchは依頼内容、Returnは事実上 completed だけで、submitted/running/input-required/auth-required/failed/canceled/unknown/timeout/partial 等を表せない。,長時間処理中の再開で同じDispatchを再送する、成否不明の処理を再実行する、待ち状態を完了と誤認する、遅延Returnを現在の試行へ誤採用する。,"DISPATCH_RETURN_CONTRACT.md: 9-41, 51-77。FPO_OVERVIEW.md: 65-72。",DISPATCH_RETURN_CONTRACTをDELEGATED_OPERATION_CONTRACTへ置換し、logical_intent_id / dispatch_id / attempt_id / remote_operation_id、状態遷移、heartbeat/lease/deadline、input/auth待ち、cancel request/ack、duplicate/out-of-order Return、terminal/non-terminalを定義する。これはcheckpointではなく外部Operation stateとする。,クラッシュ、重複送信、遅延Return、input/auth待ち、cancelの決定論的fault injection。
B-02,BLOCKER,境界・ライフサイクル,workを成功以外で有限終了させる意味がない,WORK_STATEは成立checkpointだけで、closedはaccepted後にしか到達できない。取消、拒否、実現不能、予算切れ、安全停止、ユーザー中断を終端として表せない。,不可能なworkや取り消されたworkがinterrupt_ref付きで永久Suspendされ、「有限work」という前提を満たせない。,WORK_STATE.md: 21-66。FPO_OVERVIEW.md: 65-83。実行基盤契約.md: 52-60。,achievement checkpointとは別に外部work lifecycle/dispositionを導入する。active / suspended / canceling / terminated / archived と、terminal_reason（completed/canceled/aborted/unsatisfiable/out_of_budget等）を持たせる。,ユーザー取消、矛盾要件、能力欠如、予算枯渇、安全停止から孤児状態なく終了できること。
B-03,BLOCKER,状態・責任,複数Active Blockerの集合意味が未定義,WORK_STATEは複数Blockerを一つのinterrupt_refへまとめてよいが、テンプレートは単一Blocker、P5は解消後にinterrupt_refをnull化するだけで、個別status・依存・優先度・解消根拠がない。,一件だけ解消して未解決Blockerまで消す、同じBlockerを別IDで再生成する、待ちBlockerと診断中Blockerを混同する。,WORK_STATE.md: 44-55。ACTIVE_BLOCKER_TEMPLATE.md: 1-20。P5_修正・例外ハーネス.md: 11-19。,ACTIVE_BLOCKER_CONTRACTを独立させ、blocker_id、status(open/investigating/waiting/resolved/superseded)、scope、owner、dependencies、resume_condition、resolution_evidence、state_revisionを必須化する。interrupt_ref解除はblocking setが空のときだけ。,複数Blockerの部分解消、依存Blocker、stale resolution、待ち再開のテスト。
B-04,BLOCKER,永続化・構造同型,複数MD更新のcommit/replay意味が弱い,「根拠保存後にcheckpoint」「Blocker保存とinterrupt_refを一体」とは書かれるが、commit_id、順序、クラッシュ後の再構築、孤児Record、破損参照、schema migrationがない。,Evidenceは保存済みだが状態未更新、状態だけ更新され参照先が欠落、同時更新で古いPが新しい状態を上書き、再開時に採用版を誤る。,実行基盤契約.md: 19-28。WORK_STATE.md: 31-55。EXTERNAL_STATE_LAYOUT.md: 64-69。,実行基盤契約へ「意味上のcommit unit」を追加し、state_revision、expected_revision、commit_id、append-only event/decision log、参照先durable化→pointer publish、rebuild手順、schema_version/migrationを要求する。具体的なlock方式は外部のままでよい。,全write boundaryでクラッシュさせ、現在projectionが一意に再構築できること。
B-05,BLOCKER,攻撃者・Trust,外部文書を命令扱いしないという文章だけではTrust境界にならない,Web、成果物、Capability Return、Markdown stateを同じLLM contextで読む一方、typed validation、untrusted inbox、least privilege、secret handling、sandbox、egress、path scopeがない。,間接prompt injectionでCapability選択・allowed_actions・Evidence評価が歪む。Returnの文字列やpathが下流実行へ流れ、権限逸脱・code execution・data exfiltrationを起こす。,00_最小常駐核.md: 12-26。CAPABILITY_REGISTRY_CONTRACT.md: 10-55。DISPATCH_RETURN_CONTRACT.md: 79-95。,TRUST_AND_CAPABILITY_CONTRACTを追加。Control/Task/Evidence/Untrusted Returnを分離し、Capabilityは専用inboxへschema-validなdataだけ返す。署名/identity、最小tool scope、secretはhandle参照、output sanitization、sandbox/egress、path allowlistを定義する。,Web・Return・artifact内prompt injection、capability spoof、path traversal、secret要求、過剰toolのadversarial suite。
B-06,BLOCKER,Evidence・反例,Evidenceが参照配列のままで、false acceptanceを防げない,M06は良い原則を持つが、Evidenceのclaim対応、対象revision、環境、時刻/freshness、coverage、trust domain、独立性、contradiction、supersede/retractを契約化していない。,同じモデル・同じログ由来の二重確認を独立Cross Checkと誤る、古いPASSと新しいFAILを混ぜる、部分検査で全体をacceptedにする。,M06_検査・観測.md: 17-55。DISPATCH_RETURN_CONTRACT.md: 63-84。P4_検証ハーネス.md: 8-27。,EVIDENCE_CONTRACTを追加し、evidence_id、claim_id/criterion_id、method_revision、object/environment revision、observed_at/expiry、producer/verifier/trust_domain、coverage、independence_basis、status(valid/superseded/contradicted/retracted)を必須化する。,stale、conflicting、correlated、partial、retracted EvidenceでP4が閉じないこと。
B-07,BLOCKER,副作用・構造同型,外部副作用の照合はあるが補償・forward recoveryがない,開始/結果照合と重複回避はあるが、成立済み副作用が後の再設計で不要・有害になった場合のcompensation、pivot、不可逆分類、補償失敗を扱わない。,公開、送信、DB更新等が部分成立した後、P5がcheckpointを戻しても現実だけが残り、workは設計上回復したように見えて実世界が不整合になる。,実行基盤契約.md: 41-50。P5_修正・例外ハーネス.md: 35-49。,EFFECT_RECOVERY_CONTRACTを追加。effect_id/logical_intent、status(intent/started/confirmed/unknown)、reconcile、compensatable/pivot/irreversible、compensation_action/authority/order/result、forward recoveryを定義する。,副作用成立後に応答喪失、設計rollback、補償成功/失敗、不可逆pivotのテスト。
B-08,BLOCKER,責任・ガバナンス,J3/M07/P4/P5の回復Authorityが重なる,J3は回復経路を選び、M07も対応経路を選ぶ。P4は直接designed/definedへ戻せ、P5はRecovery Hub。P5が「修正・復旧操作」を行いつつtarget変更を禁止する境界も曖昧。,同じ失敗で経路判断が二重化する。P5が製品へpatchを当てたままexecutedを維持し、stale execution evidenceでP4へ戻る。P4が原因未確定なのに直接rollbackする。,J3_P5回復経路判断ハーネス.md: 4-76。M07_例外・引き継ぎ.md: 4-72。P4_検証ハーネス.md: 18-27。P5_修正・例外ハーネス.md: 35-61。,Authority matrixを正本化。J3=原因分類と必要module/capability class、M07=継続/切替/待ち/Human policy、P5=Blocker caseとrollback採用、P4=設計で事前定義されたfailure_routeだけ直接遷移。成果物変更はP3、設計変更はP2のみ。,P5 patch禁止、既知failure route、未知failure、validation infrastructure変更、target変更の境界テスト。
B-09,BLOCKER,資源・No Progress,Human-Lastを有限にするAutonomy Budgetがない,No Progressは同一路線停止だけで、総試行数、時間、token/cost、Research回数、Capability切替数、副作用回数、deadlineがない。「新しいCapability」だけでProgress扱いを延命できる。,無限に「少し違う」調査・Agent・戦略を生成し続け、Denial of Walletや長時間hot loopになる。,P5_修正・例外ハーネス.md: 21-33。M07_例外・引き継ぎ.md: 39-63。M05_探索設計.md: 8-19。,WORK_CONTROL/AUTONOMY_BUDGETを外部化し、strategy family、attempt/cost/time/tool/token budget、diminishing return、deadline、budget owner/override、exhausted時のterminal/escalationを定義する。,表層だけ違う戦略を連続注入し、budget内で停止・切替・終了できること。
B-10,BLOCKER,目的・Intent,自律判断の基準となるDecision PolicyとIntent Fidelityが足りない,P1は目的・必須・希望・設計裁量を持つが、品質/速度/費用/可逆性等のtie-break、原要求のcoverage、仮定の影響、解釈棄却理由、独立なdefinition fidelity checkがない。,P1が重要な曖昧さを設計裁量へ流し、P2が任意の選択をしてもP4はP1だけを正としてacceptedにできる。原要求とずれた成果が内部的には完全PASSする。,P1_作業定義ハーネス.md: 7-49。P4_検証ハーネス.md: 8-27。,definitionにimmutable source request/amendments、coverage matrix、assumption register、delegated discretion、decision priorities/trade-off policy、reversibility/impactを追加。高曖昧・高影響時は独立Capabilityでsource→definition fidelityを確認し、P1が採否を決める。,要件脱落、無害な曖昧さ、高影響な多義、相反するtrade-offのbalanced tests。
B-11,BLOCKER,利用者・権限,ユーザーのCancel/Pause/Intent change/Approval lifecycleがない,Human-LastのEscalation条件はあるが、ユーザーが能動的に停止・変更・取消する入口、承認scope/expiry/revocation、実行中Operationへの伝播がない。,ユーザーが止めてもCapabilityが継続する。古い承認で別対象へ操作する。要件変更と遅延Returnが競合する。,M07_例外・引き継ぎ.md: 86-109。実行基盤契約.md: 52-60。,WORK_CONTROL_CONTRACTにcancel/pause/resume/rebase、input event、approval_id/scope/target/revision/expiry/revocation/default action、Operation cancel propagationを定義する。,実行中cancel、承認期限切れ、要件revision変更、遅延Return、権限revocation。
B-12,BLOCKER,Context境界・不要化,Runtimeと設計・試験・レビュー文書が同一Bundleに混在,BUNDLE_MANIFESTはOverview、E2E、STATIC_REVIEW、templatesまで同列に固定するが、どれがControl Contextの正本かを分離するRuntime Manifestがない。,Runtimeがレビュー文書の「PASS」や試験注入文を規範として読む。不要Contextが増え、prompt injection面とstale rule混入が広がる。,BUNDLE_MANIFEST.md: 46-72。00_最小常駐核.md: 12-34。,RUNTIME_MANIFEST.mdを新設し、runtime normative filesのみ列挙。Overview/E2E/STATIC_REVIEW/開発メモ/templatesはdev/test packへ分離し、Control Contextに入れない。多角マップv0.4.4自身のRuntime/Research分離を持ち帰る。,Runtime loaderが非runtime文書を規範としてロードできないこと。
H-01,HIGH,指標・反例,Progress DeltaがGoodhart化しやすい,新Evidence、新原因候補、新Capability、新戦略は、Goalへ材料的に近づかなくてもProgress候補になる。負のDelta（cost/risk/debt/divergence/既存Evidence失効）がない。,忙しく動くほどProgressを主張でき、No Progress判定を回避する。,FPO_OVERVIEW.md: 23-36。P5_修正・例外ハーネス.md: 21-33。,progress_claimに対象Blocker/claimへの関連、採用された変化、uncertainty before/after、invalidated evidence、cost/risk/debt、strategy equivalence、net materialityを持たせる。数値化は必須にしない。,無関係Evidence、名前だけ違う戦略、リスク増、Evidence失効をProgressと判定しない。
H-02,HIGH,失敗構造・診断,Root causeを扱う軌跡・error lifecycleが薄い,Blocker templateはhypotheses/attemptsのみで、症状、最初の誤コミット、root/contributing cause、検知漏れ、修復済み/未修復、responsible roleを分けない。,最終症状を直して根因を残す、Planner由来の誤りをExecutorのミスと誤認する、同じ因果鎖が再発する。,ACTIVE_BLOCKER_TEMPLATE.md: 1-20。P5_修正・例外ハーネス.md: 11-33。,Blocker/Event ledgerにsymptom、candidate cause、earliest unrepaired error、contributing factor、detection gap、resolution status、handoff refsを追加。長い履歴はmulti-granularity projectionで読む。,計画誤り→実装症状、修復済み局所エラー、複数原因、検証漏れのdiagnostic tests。
H-03,HIGH,Capability・運用,Registryが「存在」しか表せず、適合性と信頼性を選べない,identity、入出力、副作用はあるが、health/availability、cost/latency、quality/eval history、auth/data scope、compatibility、cancellation、retry/idempotency、trust/provider、fallbackがない。,使えないCapabilityを選ぶ、安いが不正確なValidatorを重要条件に使う、権限過大なToolをread-only用途に選ぶ。,CAPABILITY_REGISTRY_CONTRACT.md: 11-75。,Registry entryにoperational_profile、security_scope、fitness/eval_ref、cost/latency class、availability/health、cancel/stream support、compatibility、fallback、registry_entry_signature/governanceを追加。,unavailable、degraded、incompatible、overprivileged、low-quality Capabilityの選択テスト。
H-04,HIGH,実行・再開,一つのwork内の部分実行単位とresumeが未契約,P2は設計、P3は設計全体を実行するが、stable step ID、dependency、adopted result、partial completion、current unitがない。,P3途中でcrashすると全体を再実行するか、どこまで成立したか推測する。外部Operation lifecycleを足しても複数stepの順序が復元できない。,P2_作業設計ハーネス.md: 9-25。P3_実行ハーネス.md: 8-24。M04_成果物・依存関係.md: 8-19。,Project Graphではなく、design内のExecution Plan Unitsを契約化。step_id、dependencies、preconditions、operation_ref、adoption_status、effect_refs、validation hooksを持たせる。,P3中盤crash、step成功/Return喪失、dependency変更、部分再実行。
H-05,HIGH,Context・長期運用,外部MD化だけでは長期Context管理にならない,履歴は外へ出たが、current projection、index、stage handoff、retrieval規則、compaction validation、archive/retentionがない。P5は長いattemptsを再び抱え込む。,重要制約を読まない、古いattemptを現在と混ぜる、context肥大で診断精度が落ちる。,EXTERNAL_STATE_LAYOUT.md: 1-69。FPO_OVERVIEW.md: 58-59。,WORK_INDEX/CURRENT_PROJECTION、adopted refs、open obligations、recent event window、archive、compaction source refs、context budgetを定義する。hidden chain-of-thoughtではなく監査可能な決定事実だけ残す。,100+ eventの再開、compaction前後のconstraint coverage、fresh P5 sessionの再現テスト。
H-06,HIGH,評価・再現性,T1〜T7は設計シナリオであって評価体系ではない,単発・定性的で、baseline、repeated trials、reference solution、grader calibration、should-not-trigger、cost/latency、false close、security、crash/duplicate/out-of-orderがない。,一度の成功を一般性・信頼性と誤認し、過剰Research/P5呼び出しや不安定性を見逃す。,E2E_VALIDATION_PLAN.md: 1-104。STATIC_REVIEW.md: 32-45。,deterministic protocol tests→sandbox repeated E2E→adversarial→domain expansionへ分離。pass@1/pass^k、false-close、unsafe action、human interventions、wrong rollback、recovery yield、tokens/time/costを計測し、v0.6/単純Harnessと比較する。,balanced positive/negative tasksを複数trialで実行し、guardはzero-tolerance、性能はbaseline差で判定。
H-07,HIGH,検証・自己正当化,検証方法変更の同等性を誰が証明するか未定義,M06はAcceptance弱体化を禁止するが、P2が変更した検証方法をどのEvidenceで等価/強化と認めるか、method revisionのadoption gateがない。,難しい試験が失敗した後、通りやすい代替試験へ変更し、その新試験だけで変更の妥当性も成果もPASSする。,M06_検査・観測.md: 39-55。P4_検証ハーネス.md: 8-17。,validation_method_id/revision、covered claims、change reason、equivalence/strength evidence、independent supportをEvidence contractに追加。P4はmethod adoption evidenceを先に確認する。,弱い代替試験、coverage縮小、同じEvaluatorの自己承認を拒否。
H-08,HIGH,適用境界・安全,Human-Lastを切り替えるRisk TierとDomain境界がない,安全・Authorityは一般論で、医療・法務・金融・公開・個人情報・物理操作等の高リスク領域を早期に分類する契約がない。,技術的に代替可能という理由で、本来早期Human承認が必要な判断を後回しにする。,M02_安全・環境.md: 8-27。M07_例外・引き継ぎ.md: 86-109。,P1/P2にrisk_profileとrequired_human_gatesを追加し、FPO v0.xの適用範囲を「bounded digital work」に限定。高リスクはHuman-Last例外を前倒しする。,低/中/高リスク同型taskで適切なgateを選べること。
H-09,HIGH,不要化・副作用,P6の資産化が全workのclosure critical pathにある,FPOのNorth Starは成果物完遂だが、P6は毎回M08を読み、候補資産の作成・検査・publishを検討してからclosedにする。,受入済みworkが資産化の追加cost/権限/攻撃面で閉じられない。悪意あるtask知見を共有資産へ近づける。,P6_終了・資産化ハーネス.md: 4-20。M08_資産化・成長.md: 15-41。,v0.1ではclosureを先に成立させ、資産化はoff-by-defaultの任意post-actionまたは別workにする。少なくとも「資産化なし」をM08を重く起動せず選べるgateを置く。,資産化不能/不要でもaccepted workが安全にclosedとなること。
H-10,HIGH,範囲・ボトルネック,一つのinterrupt_refがwork全体を停止し、局所Blockerを表せない,Active BlockerがあるとJ1は常にP5へ行くため、設計内の独立な他stepも停止する。v0.1の逐次実行としては安全だが、Project完遂の汎用性を制限する。,一つの非必須stepのEvidence待ちで、無関係な作業まで止まり、Human-Lastの待ち時間が増える。,J1_段階判断ハーネス.md: 8-24。WORK_STATE.md: 44-55。,v0.1の明示的境界として受容し、Blocker scope(global/plan_unit)を記録。並列化はしなくても、将来のwork unit化で局所継続可能にする。,global blockerとlocal blockerを区別し、v0.1はlocalも安全に全停止することを明記。
